Random,Cheater,Cooperator,Copycat,Grudger,Detective,AI,Human,Income
5,4,3,5,2,1,1,2,214.1921447
3,0,1,2,0,5,4,3,193.6287241
3,1,3,3,4,5,1,4,240.1575076
4,2,4,4,2,0,4,5,255.872387
3,1,4,5,0,4,5,4,284.4843651
2,4,2,2,4,4,4,5,214.297117
4,1,4,2,1,1,3,4,232.6382219
2,3,4,3,4,5,4,4,257.2226206
3,1,5,3,0,3,5,5,300.5212071
3,3,4,2,2,3,4,3,237.4057186
3,5,3,5,3,1,5,3,219.0100622
2,3,3,4,1,1,1,5,211.3024387
1,3,4,4,4,1,4,3,212.1584263
4,2,5,3,1,2,2,5,297.1586681
5,3,3,3,4,2,4,2,270.0872663
3,1,5,0,1,4,2,4,289.8055333
5,4,4,2,4,3,1,5,257.0067742
5,5,5,4,3,1,2,2,280.5472137
1,3,4,4,3,3,2,4,204.6574109
5,5,2,4,4,0,3,4,220.7116239
4,2,5,3,3,3,3,2,279.1246112
3,3,5,2,1,0,2,4,227.8053399
0,3,2,5,3,5,1,3,193.2292962
4,0,4,1,5,2,5,4,250.3191957
5,2,4,3,0,2,2,4,272.229683
1,5,3,3,4,3,2,5,214.5837849
2,3,3,5,3,3,3,3,225.4559459
5,3,2,2,2,1,5,4,203.7556122
4,1,5,0,2,3,1,2,235.3813835
3,5,4,4,5,1,3,4,269.3069532
4,3,3,2,1,3,3,2,207.6004902
4,3,5,4,4,2,4,4,314.1883703
0,4,5,3,3,4,1,2,200.2325842
1,4,5,3,3,2,4,1,213.9456745
4,3,4,0,5,1,4,1,201.4810369
2,5,3,5,3,2,5,3,225.4105651
0,3,4,1,1,2,3,4,195.7090434
5,4,4,2,5,5,5,1,266.7009674
3,0,3,4,2,4,5,4,267.122561
3,1,2,2,2,5,2,3,198.8054366
4,2,2,5,3,2,1,3,193.2304567
4,3,4,4,1,2,4,5,280.0461499
2,1,4,0,4,2,3,3,205.67518
4,1,3,1,4,1,5,5,254.5568113
3,0,3,3,2,4,4,2,239.5202676
0,2,4,1,3,5,2,4,231.2692521
5,5,4,5,4,1,2,4,281.4349856
5,1,3,1,2,4,3,1,233.304953
5,4,2,3,4,0,4,5,201.2935389
4,2,5,0,4,1,4,4,263.4050416
2,1,3,1,2,3,4,4,232.807274
2,3,4,1,3,4,4,1,218.2334546
2,1,4,2,5,4,3,1,225.900089
4,4,4,4,3,3,3,3,277.0131568
0,2,5,5,2,3,4,3,254.9081362
3,5,3,4,2,3,1,4,223.1201627
2,2,5,4,5,2,4,2,231.0871212
5,1,4,3,4,2,3,3,268.7876675
2,0,4,3,2,1,2,5,247.3404605
4,0,5,3,4,1,3,5,284.4594273
1,2,5,4,3,4,3,1,256.5327632
