Random,Cheater,Cooperator,Copycat,Grudger,Detective,AI,Human,Income
1,4,2,1,4,2,1,2,129.4135063
3,0,1,3,2,1,1,3,108.5243805
4,2,0,1,5,2,3,2,118.3392033
1,3,3,5,2,4,0,3,0.0
3,1,3,2,4,3,0,3,0.0
4,3,5,0,2,0,0,3,0.0
0,2,3,3,1,2,1,1,128.5611451
2,1,0,4,3,1,0,3,0.0
3,0,0,3,4,5,3,1,142.3419111
1,0,0,0,2,3,4,4,92.27157601
2,4,2,0,1,3,4,2,135.1236471
2,4,2,3,1,1,3,1,139.7477422
2,5,0,5,4,3,2,2,129.6916612
2,5,2,0,1,4,4,0,141.8746625
0,5,0,3,0,1,3,3,89.15318649
2,2,1,2,1,2,2,3,123.487229
0,4,1,5,2,4,5,1,122.6286773
1,1,1,1,0,3,3,1,100.3021792
1,4,1,0,2,3,0,4,0.0
1,1,3,2,3,2,0,4,0.0
3,2,1,1,1,0,3,2,103.8922865
1,5,1,5,3,5,1,2,144.1940789
2,3,0,2,1,3,2,1,86.52399365
4,0,0,1,1,4,4,0,113.0233651
5,5,3,2,2,1,0,4,0.0
4,1,2,1,2,1,1,0,118.5979098
5,4,0,3,3,4,2,3,144.1551867
0,3,1,3,2,1,4,4,103.3760163
3,5,2,4,3,0,1,1,139.3384297
1,3,1,4,2,1,5,0,89.01168823
3,3,0,0,5,1,2,1,78.98800265
3,4,0,3,0,4,1,3,137.3753878
0,3,1,2,0,2,1,1,52.66931156
1,1,3,3,1,0,2,2,136.0649166
3,1,2,1,5,1,2,1,140.9507545
4,4,1,1,4,1,3,0,106.7080764
3,2,1,4,4,2,0,2,0.0
5,0,2,1,1,0,0,3,0.0
3,3,2,0,4,3,1,0,125.4520116
4,4,1,1,3,1,1,1,117.4494973
0,4,1,3,3,4,5,1,125.8659061
3,4,2,0,3,2,2,0,119.4491105
2,2,3,2,4,1,0,0,0.0
0,2,1,2,1,4,3,0,107.2286499
1,0,1,3,5,3,1,2,120.4494973
1,3,5,2,1,1,0,4,0.0
4,4,1,1,1,4,2,0,118.4118623
5,4,0,4,3,2,0,1,0.0
1,2,2,1,3,5,3,2,137.3413309
3,2,0,5,2,3,0,4,0.0
1,1,3,3,1,4,0,1,0.0
4,3,2,1,4,2,0,1,0.0
1,4,3,2,1,0,4,1,130.7005611
3,3,0,2,2,3,2,4,142.3387198
4,1,2,1,3,1,0,1,0.0
4,1,1,1,1,0,1,2,96.63467443
2,1,5,0,2,3,0,2,0.0
1,4,4,4,1,0,0,3,0.0
1,2,0,4,5,4,5,0,99.46486172
1,3,1,4,4,2,1,2,131.3771285
